TimeStamp;Email;Comment;PID;Millis;EDA;IBI;RawPulse;Pressure;Button;
2021-10-15 10:43:45.4437;a@a.A;NULL;NULL;56828;11;0;532;0;0;
2021-10-15 10:43:45.4437;a@a.A;NULL;NULL;56838;52;0;532;0;0;
2021-10-15 10:43:45.4597;a@a.A;NULL;NULL;56848;10;0;532;0;0;
2021-10-15 10:43:45.4766;a@a.A;NULL;NULL;56858;29;0;532;0;0;
2021-10-15 10:43:45.4766;a@a.A;NULL;NULL;56868;9;0;532;0;0;
2021-10-15 10:43:45.4936;a@a.A;NULL;NULL;56878;27;-8661;533;0;0;
2021-10-15 10:43:45.5095;a@a.A;NULL;NULL;56888;9;0;532;0;0;
2021-10-15 10:43:45.5095;a@a.A;NULL;NULL;56898;14;0;532;0;0;
2021-10-15 10:43:45.5270;a@a.A;NULL;NULL;56908;11;0;532;0;0;
2021-10-15 10:43:45.5270;a@a.A;NULL;NULL;56918;38;0;532;0;0;
2021-10-15 10:43:45.5430;a@a.A;NULL;NULL;56928;7;0;532;0;0;
2021-10-15 10:43:45.5589;a@a.A;NULL;NULL;56938;39;0;532;0;0;
2021-10-15 10:43:45.5589;a@a.A;NULL;NULL;56948;5;0;531;0;0;
2021-10-15 10:43:45.5769;a@a.A;NULL;NULL;56958;31;0;532;0;0;
2021-10-15 10:43:45.5769;a@a.A;NULL;NULL;56968;13;0;532;0;0;
2021-10-15 10:43:45.5928;a@a.A;NULL;NULL;56978;25;0;532;0;0;
2021-10-15 10:43:45.6098;a@a.A;NULL;NULL;56988;14;0;532;0;0;
2021-10-15 10:43:45.6098;a@a.A;NULL;NULL;56998;34;0;532;0;0;
2021-10-15 10:43:45.6262;a@a.A;NULL;NULL;57008;11;0;532;0;0;
2021-10-15 10:43:45.6262;a@a.A;NULL;NULL;57018;30;0;532;0;0;
2021-10-15 10:43:45.6432;a@a.A;NULL;NULL;57028;12;0;532;0;0;
2021-10-15 10:43:45.6592;a@a.A;NULL;NULL;57038;33;0;532;0;0;
2021-10-15 10:43:45.6592;a@a.A;NULL;NULL;57048;5;0;532;0;0;
2021-10-15 10:43:45.6761;a@a.A;NULL;NULL;57058;27;0;532;0;0;
2021-10-15 10:43:45.6771;a@a.A;NULL;NULL;57068;14;0;532;0;0;
2021-10-15 10:43:45.6931;a@a.A;NULL;NULL;57078;38;0;532;0;0;
2021-10-15 10:43:45.6931;a@a.A;NULL;NULL;57088;4;0;532;0;0;
2021-10-15 10:43:45.7100;a@a.A;NULL;NULL;57098;33;0;532;0;0;
2021-10-15 10:43:45.7261;a@a.A;NULL;NULL;57108;21;0;532;0;0;
2021-10-15 10:43:45.7261;a@a.A;NULL;NULL;57118;18;0;532;0;0;
2021-10-15 10:43:45.7431;a@a.A;NULL;NULL;57128;25;0;531;0;0;
2021-10-15 10:43:45.7591;a@a.A;NULL;NULL;57138;27;0;531;0;0;
2021-10-15 10:43:45.7591;a@a.A;NULL;NULL;57148;18;0;531;0;0;
2021-10-15 10:43:45.7760;a@a.A;NULL;NULL;57158;26;0;531;0;0;
2021-10-15 10:43:45.7760;a@a.A;NULL;NULL;57168;17;0;531;0;0;
2021-10-15 10:43:45.7930;a@a.A;NULL;NULL;57178;25;0;531;0;0;
2021-10-15 10:43:45.8090;a@a.A;NULL;NULL;57188;8;0;531;0;0;
2021-10-15 10:43:45.8090;a@a.A;NULL;NULL;57198;38;0;531;0;0;
2021-10-15 10:43:45.8260;a@a.A;NULL;NULL;57208;2;0;531;0;0;
2021-10-15 10:43:45.8260;a@a.A;NULL;NULL;57218;33;0;531;0;0;
2021-10-15 10:43:45.8429;a@a.A;NULL;NULL;57228;2;0;530;0;0;
2021-10-15 10:43:45.8429;a@a.A;NULL;NULL;57238;40;0;530;0;0;
2021-10-15 10:43:45.8589;a@a.A;NULL;NULL;57248;6;0;530;0;0;
2021-10-15 10:43:45.8758;a@a.A;NULL;NULL;57259;19;0;530;0;0;
2021-10-15 10:43:45.8758;a@a.A;NULL;NULL;57269;11;0;530;0;0;
2021-10-15 10:43:45.8928;a@a.A;NULL;NULL;57279;16;0;530;0;0;
2021-10-15 10:43:45.9088;a@a.A;NULL;NULL;57289;23;0;530;0;0;
2021-10-15 10:43:45.9088;a@a.A;NULL;NULL;57299;20;0;530;0;0;
2021-10-15 10:43:45.9263;a@a.A;NULL;NULL;57309;16;0;530;0;0;
2021-10-15 10:43:45.9263;a@a.A;NULL;NULL;57319;36;0;530;0;0;
2021-10-15 10:43:45.9432;a@a.A;NULL;NULL;57329;27;0;530;0;0;
2021-10-15 10:43:45.9592;a@a.A;NULL;NULL;57339;20;0;530;0;0;
2021-10-15 10:43:45.9592;a@a.A;NULL;NULL;57349;9;0;530;0;0;
2021-10-15 10:43:45.9761;a@a.A;NULL;NULL;57359;29;0;530;0;0;
2021-10-15 10:43:45.9761;a@a.A;NULL;NULL;57369;22;0;530;0;0;
2021-10-15 10:43:45.9931;a@a.A;NULL;NULL;57379;26;0;530;0;0;
2021-10-15 10:43:46.0090;a@a.A;NULL;NULL;57389;5;0;530;0;0;
2021-10-15 10:43:46.0090;a@a.A;NULL;NULL;57399;28;0;530;0;0;
2021-10-15 10:43:46.0262;a@a.A;NULL;NULL;57409;6;0;529;0;0;
2021-10-15 10:43:46.0442;a@a.A;NULL;NULL;57419;39;0;529;0;0;
2021-10-15 10:43:46.0442;a@a.A;NULL;NULL;57430;10;0;529;0;0;
2021-10-15 10:43:46.0592;a@a.A;NULL;NULL;57440;29;0;529;0;0;
2021-10-15 10:43:46.0592;a@a.A;NULL;NULL;57450;24;0;529;0;0;
2021-10-15 10:43:46.0763;a@a.A;NULL;NULL;57460;8;0;529;0;0;
2021-10-15 10:43:46.0923;a@a.A;NULL;NULL;57470;9;0;529;0;0;
2021-10-15 10:43:46.0923;a@a.A;NULL;NULL;57480;28;0;529;0;0;
2021-10-15 10:43:46.1093;a@a.A;NULL;NULL;57490;12;0;529;0;0;
2021-10-15 10:43:46.1093;a@a.A;NULL;NULL;57500;19;0;529;0;0;
2021-10-15 10:43:46.1262;a@a.A;NULL;NULL;57510;23;0;529;0;0;
2021-10-15 10:43:46.1262;a@a.A;NULL;NULL;57520;23;0;529;0;0;
2021-10-15 10:43:46.1422;a@a.A;NULL;NULL;57530;11;0;529;0;0;
2021-10-15 10:43:46.1591;a@a.A;NULL;NULL;57540;30;0;529;0;0;
2021-10-15 10:43:46.1591;a@a.A;NULL;NULL;57550;10;0;529;0;0;
2021-10-15 10:43:46.1761;a@a.A;NULL;NULL;57560;12;0;529;0;0;
2021-10-15 10:43:46.1761;a@a.A;NULL;NULL;57570;24;0;529;0;0;
2021-10-15 10:43:46.1920;a@a.A;NULL;NULL;57580;15;0;529;0;0;
2021-10-15 10:43:46.2090;a@a.A;NULL;NULL;57590;28;0;529;0;0;
2021-10-15 10:43:46.2090;a@a.A;NULL;NULL;57600;19;0;529;0;0;
2021-10-15 10:43:46.2265;a@a.A;NULL;NULL;57610;11;0;529;0;0;
2021-10-15 10:43:46.2424;a@a.A;NULL;NULL;57620;29;0;529;0;0;
2021-10-15 10:43:46.2424;a@a.A;NULL;NULL;57630;18;0;529;0;0;
2021-10-15 10:43:46.2594;a@a.A;NULL;NULL;57640;7;0;529;0;0;
2021-10-15 10:43:46.2594;a@a.A;NULL;NULL;57650;14;0;529;0;0;
2021-10-15 10:43:46.2763;a@a.A;NULL;NULL;57660;29;0;529;0;0;
2021-10-15 10:43:46.2923;a@a.A;NULL;NULL;57670;5;0;529;0;0;
2021-10-15 10:43:46.2923;a@a.A;NULL;NULL;57680;0;0;529;0;0;
2021-10-15 10:43:46.3093;a@a.A;NULL;NULL;57690;9;0;529;0;0;
2021-10-15 10:43:46.3093;a@a.A;NULL;NULL;57700;18;0;529;0;0;
2021-10-15 10:43:46.3252;a@a.A;NULL;NULL;57710;11;0;529;0;0;
2021-10-15 10:43:46.3422;a@a.A;NULL;NULL;57720;18;0;529;0;0;
2021-10-15 10:43:46.3422;a@a.A;NULL;NULL;57730;12;0;529;0;0;
2021-10-15 10:43:46.3591;a@a.A;NULL;NULL;57740;25;0;529;0;0;
2021-10-15 10:43:46.3591;a@a.A;NULL;NULL;57750;18;0;529;0;0;
2021-10-15 10:43:46.3761;a@a.A;NULL;NULL;57760;14;0;529;0;0;
2021-10-15 10:43:46.3761;a@a.A;NULL;NULL;57771;16;0;529;0;0;
2021-10-15 10:43:46.3920;a@a.A;NULL;NULL;57781;5;0;529;0;0;
2021-10-15 10:43:46.4090;a@a.A;NULL;NULL;57791;9;0;529;0;0;
2021-10-15 10:43:46.4090;a@a.A;NULL;NULL;57801;1;0;529;0;0;
2021-10-15 10:43:46.4259;a@a.A;NULL;NULL;57811;21;0;529;0;0;
2021-10-15 10:43:46.4259;a@a.A;NULL;NULL;57821;0;0;529;0;0;
2021-10-15 10:43:46.4429;a@a.A;NULL;NULL;57831;19;0;529;0;0;
2021-10-15 10:43:46.4589;a@a.A;NULL;NULL;57841;0;0;529;0;0;
2021-10-15 10:43:46.4589;a@a.A;NULL;NULL;57851;18;0;529;0;0;
2021-10-15 10:43:46.4758;a@a.A;NULL;NULL;57861;0;0;529;0;0;
2021-10-15 10:43:46.4928;a@a.A;NULL;NULL;57871;8;0;529;0;0;
2021-10-15 10:43:46.4928;a@a.A;NULL;NULL;57881;5;0;529;0;0;
2021-10-15 10:43:46.5087;a@a.A;NULL;NULL;57891;19;0;529;0;0;
2021-10-15 10:43:46.5087;a@a.A;NULL;NULL;57901;0;0;529;0;0;
2021-10-15 10:43:46.5267;a@a.A;NULL;NULL;57911;13;0;529;0;0;
2021-10-15 10:43:46.5426;a@a.A;NULL;NULL;57921;6;0;529;0;0;
2021-10-15 10:43:46.5426;a@a.A;NULL;NULL;57931;29;0;529;0;0;
2021-10-15 10:43:46.5596;a@a.A;NULL;NULL;57942;4;0;529;0;0;
2021-10-15 10:43:46.5596;a@a.A;NULL;NULL;57952;22;0;529;0;0;
2021-10-15 10:43:46.5765;a@a.A;NULL;NULL;57962;0;0;529;0;0;
2021-10-15 10:43:46.5925;a@a.A;NULL;NULL;57972;8;0;529;0;0;
2021-10-15 10:43:46.5925;a@a.A;NULL;NULL;57982;0;0;529;0;0;
2021-10-15 10:43:46.6095;a@a.A;NULL;NULL;57992;13;0;529;0;0;
2021-10-15 10:43:46.6095;a@a.A;NULL;NULL;58002;0;0;529;0;0;
2021-10-15 10:43:46.6264;a@a.A;NULL;NULL;58012;8;0;529;0;0;
2021-10-15 10:43:46.6424;a@a.A;NULL;NULL;58022;0;0;529;0;0;
2021-10-15 10:43:46.6424;a@a.A;NULL;NULL;58032;22;0;529;0;0;
2021-10-15 10:43:46.6593;a@a.A;NULL;NULL;58042;4;0;529;0;0;
2021-10-15 10:43:46.6593;a@a.A;NULL;NULL;58052;3;0;529;0;0;
2021-10-15 10:43:46.6753;a@a.A;NULL;NULL;58062;8;0;529;0;0;
2021-10-15 10:43:46.6922;a@a.A;NULL;NULL;58072;22;0;529;0;0;
2021-10-15 10:43:46.6922;a@a.A;NULL;NULL;58082;0;0;529;0;0;
2021-10-15 10:43:46.7092;a@a.A;NULL;NULL;58092;17;0;529;0;0;
2021-10-15 10:43:46.7092;a@a.A;NULL;NULL;58102;0;0;529;0;0;
2021-10-15 10:43:46.7261;a@a.A;NULL;NULL;58112;9;0;529;0;0;
2021-10-15 10:43:46.7421;a@a.A;NULL;NULL;58122;0;0;529;0;0;
2021-10-15 10:43:46.7421;a@a.A;NULL;NULL;58132;20;0;529;0;0;
2021-10-15 10:43:46.7591;a@a.A;NULL;NULL;58142;6;0;529;0;0;
2021-10-15 10:43:46.7750;a@a.A;NULL;NULL;58152;25;0;529;0;0;
2021-10-15 10:43:46.7750;a@a.A;NULL;NULL;58162;0;0;529;0;0;
2021-10-15 10:43:46.7920;a@a.A;NULL;NULL;58172;17;0;529;0;0;
2021-10-15 10:43:46.7920;a@a.A;NULL;NULL;58182;5;0;529;0;0;
2021-10-15 10:43:46.8089;a@a.A;NULL;NULL;58192;6;0;529;0;0;
