Email;Timestamp;Comment;PID;Millis;EDA;IBI;RawPulse;Pressure;Button
;;;;;;;;;
a@a.A;2021-10-15 09:16:21.3640;NULL;NULL;41109;0;0;532;0;0
a@a.A;2021-10-15 09:16:21.3640;NULL;NULL;41119;70;0;532;0;0
a@a.A;2021-10-15 09:16:21.3810;NULL;NULL;41129;0;-24413;532;0;0
a@a.A;2021-10-15 09:16:21.3970;NULL;NULL;41139;0;0;532;0;0
a@a.A;2021-10-15 09:16:21.3970;NULL;NULL;41149;0;0;532;0;0
a@a.A;2021-10-15 09:16:21.4139;NULL;NULL;41159;55;0;532;0;0
a@a.A;2021-10-15 09:16:21.4139;NULL;NULL;41169;0;0;532;0;0
a@a.A;2021-10-15 09:16:21.4309;NULL;NULL;41179;0;0;532;0;0
a@a.A;2021-10-15 09:16:21.4468;NULL;NULL;41189;0;0;532;0;0
a@a.A;2021-10-15 09:16:21.4478;NULL;NULL;41199;45;0;532;0;0
a@a.A;2021-10-15 09:16:21.4638;NULL;NULL;41209;0;0;532;0;0
a@a.A;2021-10-15 09:16:21.4638;NULL;NULL;41219;23;0;531;0;0
a@a.A;2021-10-15 09:16:21.4807;NULL;NULL;41229;0;0;532;0;0
a@a.A;2021-10-15 09:16:21.4967;NULL;NULL;41239;6;0;532;0;0
a@a.A;2021-10-15 09:16:21.4967;NULL;NULL;41249;0;0;532;0;0
a@a.A;2021-10-15 09:16:21.5136;NULL;NULL;41259;0;0;532;0;0
a@a.A;2021-10-15 09:16:21.5136;NULL;NULL;41269;0;0;532;0;0
a@a.A;2021-10-15 09:16:21.5306;NULL;NULL;41279;32;0;532;0;0
a@a.A;2021-10-15 09:16:21.5476;NULL;NULL;41289;0;0;532;0;0
a@a.A;2021-10-15 09:16:21.5476;NULL;NULL;41299;62;0;532;0;0
a@a.A;2021-10-15 09:16:21.5635;NULL;NULL;41309;0;0;532;0;0
a@a.A;2021-10-15 09:16:21.5635;NULL;NULL;41319;30;0;532;0;0
a@a.A;2021-10-15 09:16:21.5805;NULL;NULL;41329;0;0;532;0;0
a@a.A;2021-10-15 09:16:21.5974;NULL;NULL;41339;27;0;532;0;0
a@a.A;2021-10-15 09:16:21.5974;NULL;NULL;41349;0;0;532;0;0
a@a.A;2021-10-15 09:16:21.6144;NULL;NULL;41359;3;0;532;0;0
a@a.A;2021-10-15 09:16:21.6144;NULL;NULL;41369;0;0;532;0;0
a@a.A;2021-10-15 09:16:21.6303;NULL;NULL;41379;54;0;532;0;0
a@a.A;2021-10-15 09:16:21.6469;NULL;NULL;41389;0;0;532;0;0
a@a.A;2021-10-15 09:16:21.6469;NULL;NULL;41399;11;0;532;0;0
a@a.A;2021-10-15 09:16:21.6638;NULL;NULL;41409;0;0;532;0;0
a@a.A;2021-10-15 09:16:21.6638;NULL;NULL;41419;31;0;532;0;0
a@a.A;2021-10-15 09:16:21.6808;NULL;NULL;41430;0;0;532;0;0
a@a.A;2021-10-15 09:16:21.6967;NULL;NULL;41440;48;0;531;0;0
a@a.A;2021-10-15 09:16:21.6967;NULL;NULL;41450;0;0;531;0;0
a@a.A;2021-10-15 09:16:21.7137;NULL;NULL;41460;36;0;531;0;0
a@a.A;2021-10-15 09:16:21.7307;NULL;NULL;41470;0;0;531;0;0
a@a.A;2021-10-15 09:16:21.7307;NULL;NULL;41480;65;0;531;0;0
a@a.A;2021-10-15 09:16:21.7471;NULL;NULL;41490;0;0;531;0;0
a@a.A;2021-10-15 09:16:21.7471;NULL;NULL;41500;15;0;531;0;0
a@a.A;2021-10-15 09:16:21.7641;NULL;NULL;41510;0;0;531;0;0
a@a.A;2021-10-15 09:16:21.7641;NULL;NULL;41520;60;0;531;0;0
a@a.A;2021-10-15 09:16:21.7800;NULL;NULL;41530;0;0;531;0;0
a@a.A;2021-10-15 09:16:21.7970;NULL;NULL;41540;0;0;530;0;0
a@a.A;2021-10-15 09:16:21.7970;NULL;NULL;41550;0;0;530;0;0
a@a.A;2021-10-15 09:16:21.8139;NULL;NULL;41560;22;0;530;0;0
a@a.A;2021-10-15 09:16:21.8139;NULL;NULL;41570;0;0;530;0;0
a@a.A;2021-10-15 09:16:21.8299;NULL;NULL;41580;29;0;530;0;0
a@a.A;2021-10-15 09:16:21.8474;NULL;NULL;41590;0;0;530;0;0
a@a.A;2021-10-15 09:16:21.8474;NULL;NULL;41600;72;0;530;0;0
a@a.A;2021-10-15 09:16:21.8633;NULL;NULL;41610;0;0;530;0;0
a@a.A;2021-10-15 09:16:21.8633;NULL;NULL;41620;26;0;530;0;0
a@a.A;2021-10-15 09:16:21.8803;NULL;NULL;41630;0;0;530;0;0
a@a.A;2021-10-15 09:16:21.8972;NULL;NULL;41640;0;0;530;0;0
a@a.A;2021-10-15 09:16:21.8972;NULL;NULL;41650;0;0;530;0;0
a@a.A;2021-10-15 09:16:21.9142;NULL;NULL;41660;56;0;530;0;0
a@a.A;2021-10-15 09:16:21.9301;NULL;NULL;41670;0;0;530;0;0
a@a.A;2021-10-15 09:16:21.9301;NULL;NULL;41680;23;0;530;0;0
a@a.A;2021-10-15 09:16:21.9466;NULL;NULL;41690;0;0;530;0;0
a@a.A;2021-10-15 09:16:21.9476;NULL;NULL;41700;16;0;530;0;0
a@a.A;2021-10-15 09:16:21.9636;NULL;NULL;41710;0;0;530;0;0
a@a.A;2021-10-15 09:16:21.9805;NULL;NULL;41720;31;0;530;0;0
a@a.A;2021-10-15 09:16:21.9805;NULL;NULL;41730;0;0;530;0;0
a@a.A;2021-10-15 09:16:21.9965;NULL;NULL;41740;49;0;529;0;0
