TimeStamp;Email;Comment;PID;Millis;EDA;IBI;RawPulse;Pressure;Button;
2021-10-15 09:25:45.4181;a@a.A;NULL;NULL;185395;0;0;532;0;0;
2021-10-15 09:25:45.4370;a@a.A;NULL;NULL;185405;39;0;532;0;0;
2021-10-15 09:25:45.4370;a@a.A;NULL;NULL;185415;19;0;532;0;0;
2021-10-15 09:25:45.4520;a@a.A;NULL;NULL;185425;22;0;532;0;0;
2021-10-15 09:25:45.4520;a@a.A;NULL;NULL;185435;14;0;532;0;0;
2021-10-15 09:25:45.4680;a@a.A;NULL;NULL;185445;17;-11171;533;0;0;
2021-10-15 09:25:45.4849;a@a.A;NULL;NULL;185455;17;0;532;0;0;
2021-10-15 09:25:45.4849;a@a.A;NULL;NULL;185465;24;0;532;0;0;
2021-10-15 09:25:45.5009;a@a.A;NULL;NULL;185475;3;0;532;0;0;
2021-10-15 09:25:45.5191;a@a.A;NULL;NULL;185485;26;0;532;0;0;
2021-10-15 09:25:45.5191;a@a.A;NULL;NULL;185495;34;0;532;0;0;
2021-10-15 09:25:45.5191;a@a.A;NULL;NULL;185505;18;0;532;0;0;
2021-10-15 09:25:45.5350;a@a.A;NULL;NULL;185515;11;0;532;0;0;
2021-10-15 09:25:45.5520;a@a.A;NULL;NULL;185525;21;0;532;0;0;
2021-10-15 09:25:45.5520;a@a.A;NULL;NULL;185535;23;0;532;0;0;
2021-10-15 09:25:45.5689;a@a.A;NULL;NULL;185545;17;0;532;0;0;
2021-10-15 09:25:45.5849;a@a.A;NULL;NULL;185555;22;0;532;0;0;
2021-10-15 09:25:45.5849;a@a.A;NULL;NULL;185565;14;0;532;0;0;
2021-10-15 09:25:45.6028;a@a.A;NULL;NULL;185575;16;0;532;0;0;
2021-10-15 09:25:45.6028;a@a.A;NULL;NULL;185585;28;0;532;0;0;
2021-10-15 09:25:45.6198;a@a.A;NULL;NULL;185595;15;0;532;0;0;
2021-10-15 09:25:45.6517;a@a.A;NULL;NULL;185605;22;0;532;0;0;
2021-10-15 09:25:45.6517;a@a.A;NULL;NULL;185615;17;0;532;0;0;
2021-10-15 09:25:45.6527;a@a.A;NULL;NULL;185625;20;0;532;0;0;
2021-10-15 09:25:45.6527;a@a.A;NULL;NULL;185635;18;0;532;0;0;
2021-10-15 09:25:45.6697;a@a.A;NULL;NULL;185645;29;0;532;0;0;
2021-10-15 09:25:45.6697;a@a.A;NULL;NULL;185655;4;0;532;0;0;
2021-10-15 09:25:45.6856;a@a.A;NULL;NULL;185665;31;0;532;0;0;
2021-10-15 09:25:45.7026;a@a.A;NULL;NULL;185675;31;0;532;0;0;
2021-10-15 09:25:45.7026;a@a.A;NULL;NULL;185686;31;0;532;0;0;
2021-10-15 09:25:45.7341;a@a.A;NULL;NULL;185696;12;0;532;0;0;
